effect_bonus_value_ids_unit_sets_tables
0
bonus_value_id	effect	unit_set
minimum_xp_gain_from_eligible_battle	minimum_xp_gain_from_eligible_battle	all_units
unit_xp_mod	wh2_dlc09_edict_tmb_force_all_campaign_experience_base_all	all_units
ammo_mod	wh2_dlc09_effect_ammunition_tmb_catapult	wh2_dlc09_tmb_catapult
ammo_mod	wh2_dlc09_effect_ammunition_tmb_chariots	wh2_dlc09_tmb_chariots
ammo_mod	wh2_dlc09_effect_ammunition_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_catapult
ammo_mod	wh2_dlc09_effect_ammunition_tmb_skeleton_archer_catapult	wh2_dlc09_tmb_skeleton_archer
ammo_mod	wh2_dlc09_effect_ammunition_tmb_skeleton_archer_catapult	wh2_pro06_tmb_mon_bone_giant_0
ammo_mod	wh2_dlc09_effect_ammunition_tmb_skeleton_archer	wh2_dlc09_tmb_skeleton_archer
ammo_mod	wh2_dlc09_effect_ammunition_tmb_vet_all_archer	wh2_dlc09_tmb_inf_skeleton_archers_ror
ammo_mod	wh2_dlc09_effect_ammunition_tmb_vet_all_archer	wh2_dlc09_tmb_mon_ushabti_ror
ammo_mod	wh2_dlc09_effect_ammunition_tmb_vet_all_archer	wh2_dlc09_tmb_vet_all_archer
ammo_mod	wh2_dlc09_effect_ammunition_tmb_vet_all_archer	wh2_pro06_tmb_vet_bone_giant
armour_mod	wh2_dlc09_effect_armour_tmb_all_melee_infantry	wh2_dlc09_tmb_all_melee_infantry
armour_mod	wh2_dlc09_effect_armour_tmb_vet_all_cav	wh2_dlc09_tmb_cav_necropolis_knights_ror
armour_mod	wh2_dlc09_effect_armour_tmb_vet_all_cav	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror
armour_mod	wh2_dlc09_effect_armour_tmb_vet_all_cav	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
armour_mod	wh2_dlc09_effect_armour_tmb_vet_all_cav	wh2_dlc09_tmb_vet_all_cav
armour_mod	wh2_dlc09_effect_armour_tmb_vet_all_infantry	wh2_dlc09_tmb_vet_all_infantry
armour_mod	wh2_dlc09_effect_armour_tmb_vet_all_infantry	wh2_dlc09_tmb_vet_all_infantry_ror
melee_damage_ap_mod_add	wh2_dlc09_effect_army_battle_ap_damage_carrion	wh2_dlc09_tmb_mon_carrion_0
melee_attack_mod	wh2_dlc09_effect_battle_melee_attack_tmb_tomb_guard_chariots	wh2_dlc09_tmb_tomb_guards_chariots
melee_defence_mod	wh2_dlc09_effect_battle_melee_defence_tmb_tomb_guards_chariots	wh2_dlc09_tmb_tomb_guards_chariots
morale	wh2_dlc09_effect_battle_morale_tmb_tomb_guards_chariots	wh2_dlc09_tmb_tomb_guards_chariots
charge_add	wh2_dlc09_effect_charge_tmb_chariot_warsphinx	wh2_dlc09_tmb_chariots
charge_add	wh2_dlc09_effect_charge_tmb_chariot_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
charge_add	wh2_dlc09_effect_charge_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_mon_necrosphinx_ror
charge_add	wh2_dlc09_effect_charge_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_0
charge_add	wh2_dlc09_effect_charge_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_mon_sepulchral_stalkers_ror
charge_add	wh2_dlc09_effect_charge_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_necrosphinx
charge_add	wh2_dlc09_effect_charge_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_scorpion_no_ror
charge_add	wh2_dlc09_effect_charge_tmb_speculchral_necropolis	wh2_dlc09_tmb_speculchral_necropolis
mod_land_movement_battle	wh2_dlc09_effect_force_army_battle_movement_speed_tmb_scorpions	wh2_dlc09_tmb_mon_tomb_scorpion_0
mod_land_movement_battle	wh2_dlc09_effect_force_army_battle_movement_speed_tmb_tombguard_hierotitans	wh2_dlc09_tmb_mon_heirotitan_0
mod_land_movement_battle	wh2_dlc09_effect_force_army_battle_movement_speed_tmb_tombguard_hierotitans	wh2_dlc09_tmb_tomb_guard
mod_land_movement_battle	wh2_dlc09_effect_force_army_battle_movement_speed_tmb_ushabti_sphinxes	wh2_dlc09_tmb_sphinx_all
mod_land_movement_battle	wh2_dlc09_effect_force_army_battle_movement_speed_tmb_ushabti_sphinxes	wh2_dlc09_tmb_ushabti
morale	wh2_dlc09_effect_leadership_tmb_horsemen_chariot	wh2_dlc09_tmb_all_horse_driven_units
morale	wh2_dlc09_effect_leadership_tmb_vet_all_infantry	wh2_dlc09_tmb_vet_all_infantry
morale	wh2_dlc09_effect_leadership_tmb_vet_all_monster	wh2_dlc09_tmb_mon_necrosphinx_ror
morale	wh2_dlc09_effect_leadership_tmb_vet_all_monster	wh2_dlc09_tmb_mon_ushabti_ror
morale	wh2_dlc09_effect_leadership_tmb_vet_all_monster	wh2_dlc09_tmb_vet_all_monster
unit_damage_resistance_magic_mod	wh2_dlc09_effect_magic_resistance_tmb_vet_all_monster	wh2_dlc09_tmb_mon_necrosphinx_ror
unit_damage_resistance_magic_mod	wh2_dlc09_effect_magic_resistance_tmb_vet_all_monster	wh2_dlc09_tmb_mon_ushabti_ror
unit_damage_resistance_magic_mod	wh2_dlc09_effect_magic_resistance_tmb_vet_all_monster	wh2_dlc09_tmb_vet_all_monster
melee_attack_mod	wh2_dlc09_effect_melee_attack_monster	infantry_monstrous
melee_attack_mod	wh2_dlc09_effect_melee_attack_monster	monsters
melee_attack_mod	wh2_dlc09_effect_melee_attack_monster	wh2_dlc09_tmb_vet_all_monster
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_all_melee_infantry	wh2_dlc09_tmb_all_melee_infantry
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_carrion_scorpion	wh2_dlc09_tmb_carrion_scorpion
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_characters	heroes
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_chariot_warsphinx	wh2_dlc09_tmb_chariots
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_chariot_warsphinx	wh2_dlc09_tmb_veh_khemrian_warsphinx_0
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_horsemen_chariot	wh2_dlc09_tmb_all_horse_driven_units
melee_attack_mod	wh2_dlc09_effect_melee_attack_tmb_necrosphinx_scorpion_stalker	wh2_dlc09_tmb_mon_necrosphinx_ror
