ancillary_to_effects_tables
0
ancillary	effect	effect_scope	value
wh2_dlc09_anc_arcane_item_blue_khepra	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	20
wh2_dlc09_anc_arcane_item_enkhils_kanopi	wh2_dlc09_effect_ability_enable_enkhils_kanopi	character_to_character_own	1
wh2_dlc09_anc_arcane_item_enkhils_kanopi	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	10
wh2_dlc09_anc_arcane_item_enkhils_kanopi	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	12
wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	wh2_dlc09_effect_ability_enable_neferras_scrolls_of_mighty_incantations	character_to_character_own	1
wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	wh_main_effect_military_force_winds_of_magic_starting_mod	character_to_force_own_unseen	7
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh2_dlc09_effect_ability_enable_staff_of_nagash	character_to_character_own	1
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	20
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-15
wh2_dlc09_anc_arcane_item_staff_of_nagash	wh_main_effect_technology_research_points	character_to_faction	10
wh2_dlc09_anc_arcane_item_the_liche_staff	wh2_dlc09_effect_ability_enable_the_liche_staff	character_to_character_own	1
wh2_dlc09_anc_arcane_item_the_liche_staff	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	60
wh2_dlc09_anc_arcane_item_the_liche_staff	wh_main_effect_character_stat_mod_miscast_chance	character_to_character_own	-15
wh2_dlc09_anc_arcane_item_the_liche_staff	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	5
wh2_dlc09_anc_armour_armour_armour_of_dawn	wh_main_effect_character_stat_mod_armour	character_to_character_own	12
wh2_dlc09_anc_armour_armour_armour_of_dawn	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	10
wh2_dlc09_anc_armour_armour_helmet_of_khsar	wh_main_effect_character_stat_mod_armour	character_to_character_own	5
wh2_dlc09_anc_armour_armour_helmet_of_khsar	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh2_dlc09_anc_armour_armour_helmet_of_khsar	wh_main_effect_character_stat_mod_melee_damage	character_to_character_own	5
wh2_dlc09_anc_armour_armour_mortuary_robes	wh_main_effect_character_stat_mod_armour	character_to_character_own	2
wh2_dlc09_anc_armour_armour_mortuary_robes	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	2
wh2_dlc09_anc_armour_armour_mortuary_robes	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	2
wh2_dlc09_anc_armour_armour_of_eternity	wh2_main_effect_ability_enable_regeneration	character_to_character_own	1
wh2_dlc09_anc_armour_armour_of_eternity	wh_main_effect_character_stat_mod_armour	character_to_character_own	5
wh2_dlc09_anc_armour_armour_of_eternity	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh2_dlc09_anc_armour_armour_of_eternity	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	5
wh2_dlc09_anc_armour_armour_of_the_ages	wh_main_effect_character_stat_mod_armour	character_to_character_own	5
wh2_dlc09_anc_armour_armour_of_the_ages	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	5
wh2_dlc09_anc_armour_armour_of_the_ages	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	5
wh2_dlc09_anc_armour_armour_shield_of_ptra	wh_main_effect_character_stat_mod_armour	character_to_character_own	3
wh2_dlc09_anc_armour_armour_shield_of_ptra	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	3
wh2_dlc09_anc_armour_armour_shield_of_ptra	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	10
wh2_dlc09_anc_armour_armour_skull_cap_of_the_moon	wh_main_effect_character_stat_mod_armour	character_to_character_own	5
wh2_dlc09_anc_armour_armour_skull_cap_of_the_moon	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	10
wh2_dlc09_anc_armour_armour_skull_cap_of_the_moon	wh_main_effect_military_force_winds_of_magic_depletion_mod_items	character_to_force_own_unseen	5
wh2_dlc09_anc_armour_scorpion_armour	wh2_dlc09_effect_ability_enable_scorpion_armour	character_to_character_own	1
wh2_dlc09_anc_armour_scorpion_armour	wh_main_effect_character_stat_mod_armour	character_to_character_own	15
wh2_dlc09_anc_armour_scorpion_armour	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	5
wh2_dlc09_anc_armour_scorpion_armour	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	10
wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	6
wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	wh_main_effect_character_stat_mod_ward_save_magic	character_to_character_own	12
wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	wh_main_effect_unit_enable_attribute_guerrilla_deployment	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	wh2_dlc09_effect_ability_enable_cloak_of_the_dunes	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity	character_to_force_own	1
wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	wh2_main_effect_force_unit_stat_melee_attack_in_desert_terrain	character_to_character_own	10
wh2_dlc09_anc_enchanted_item_death_mask_of_kharnut	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	4
wh2_dlc09_anc_enchanted_item_death_mask_of_kharnut	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	4
wh2_dlc09_anc_enchanted_item_death_mask_of_kharnut	wh_main_effect_unit_enable_attribute_terror	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_elixir_of_might	wh2_dlc09_effect_ability_enable_elixir_of_might	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_golden_deathmask_of_kharnut	wh_main_effect_unit_enable_attribute_terror	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_hieratic_jar	wh2_dlc09_effect_ability_enable_hieratic_jar	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_icon_of_rulership	wh_main_effect_ability_enable_hold_the_line	character_to_character_own	1
wh2_dlc09_anc_enchanted_item_icon_of_rulership	wh_main_effect_character_stat_mod_morale	character_to_character_own	5
