unit_set_to_unit_junctions_tables
0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
False			art_fix		all_land_artillery
False			art_fld		all_land_artillery
False			art_siege		all_land_artillery
False			cav_mel		all_land_units_exluding_artillery
False			cav_mis		all_land_units_exluding_artillery
True			cav_shk		all_land_units_exluding_artillery
False			chariot		all_land_units_exluding_artillery
False			com		all_land_units_exluding_artillery
True			elph		all_land_units_exluding_artillery
True			inf_mel		all_land_units_exluding_artillery
False			inf_mis		all_land_units_exluding_artillery
False			inf_pik		all_land_units_exluding_artillery
False			inf_spr		all_land_units_exluding_artillery
False			spcl		all_land_units_exluding_artillery
False			art_fix		all_land_units
False			art_fld		all_land_units
False			art_siege		all_land_units
False			cav_mel		all_land_units
False			cav_mis		all_land_units
False			cav_shk		all_land_units
False			chariot		all_land_units
False			com		all_land_units
False			elph		all_land_units
False			inf_mel		all_land_units
False			inf_mis		all_land_units
False			art_fix		all_units_excluding_guerrilla_deployment
False			art_fld		all_units_excluding_guerrilla_deployment
False			art_siege		all_units_excluding_guerrilla_deployment
False			cav_mel		all_units_excluding_guerrilla_deployment
False			cav_mis		all_units_excluding_guerrilla_deployment
False			cav_shk		all_units_excluding_guerrilla_deployment
False			chariot		all_units_excluding_guerrilla_deployment
False			com		all_units_excluding_guerrilla_deployment
False			elph		all_units_excluding_guerrilla_deployment
False			inf_mel		all_units_excluding_guerrilla_deployment
False			inf_mis		all_units_excluding_guerrilla_deployment
False			inf_pik		all_units_excluding_guerrilla_deployment
False			inf_spr		all_units_excluding_guerrilla_deployment
False			shp_art		all_units_excluding_guerrilla_deployment
False			shp_mel		all_units_excluding_guerrilla_deployment
False			shp_mis		all_units_excluding_guerrilla_deployment
False			shp_trn		all_units_excluding_guerrilla_deployment
False			spcl		all_units_excluding_guerrilla_deployment
True				wh2_dlc09_tmb_cav_hexwraiths	all_units_excluding_guerrilla_deployment
False				wh2_dlc10_def_cav_raven_heralds_ror_0	all_units_excluding_guerrilla_deployment
False				wh2_dlc10_hef_cav_the_heralds_of_the_wind_ror_0	all_units_excluding_guerrilla_deployment
True				wh2_dlc13_emp_cav_outriders_1_imperial_supply	all_units_excluding_guerrilla_deployment
False				wh2_dlc13_emp_cav_outriders_ror_0	all_units_excluding_guerrilla_deployment
True				wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	all_units_excluding_guerrilla_deployment
False				wh2_dlc13_emp_cav_pistoliers_ror_0	all_units_excluding_guerrilla_deployment
False				wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	all_units_excluding_guerrilla_deployment
False				wh2_dlc15_grn_cav_squig_hoppers_waaagh_0	all_units_excluding_guerrilla_deployment
True				wh2_main_def_cav_dark_riders_0	all_units_excluding_guerrilla_deployment
True				wh2_main_def_cav_dark_riders_1	all_units_excluding_guerrilla_deployment
True				wh2_main_def_cav_dark_riders_2	all_units_excluding_guerrilla_deployment
True				wh2_main_hef_cav_ellyrian_reavers_0	all_units_excluding_guerrilla_deployment
True				wh2_main_hef_cav_ellyrian_reavers_1	all_units_excluding_guerrilla_deployment
True				wh2_main_hef_cav_silver_helms_0	all_units_excluding_guerrilla_deployment
True				wh2_main_hef_cav_silver_helms_1	all_units_excluding_guerrilla_deployment
True				wh_dlc04_vmp_cav_chillgheists_0	all_units_excluding_guerrilla_deployment
True				wh_dlc04_vmp_mon_direpack_0	all_units_excluding_guerrilla_deployment
True				wh_dlc05_wef_cav_glade_riders_0	all_units_excluding_guerrilla_deployment
True				wh_dlc05_wef_cav_wild_riders_0	all_units_excluding_guerrilla_deployment
True				wh_dlc05_wef_cav_wild_riders_1	all_units_excluding_guerrilla_deployment
True				wh_dlc06_dwf_inf_ekrund_miners_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cav_broken_tusks_mob_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cav_deff_creepers_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cav_durkits_squigs_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cav_mogrubbs_marauders_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cav_moon_howlers_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cav_squig_hoppers_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_cha_night_goblin_warboss_1	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_inf_da_eight_peaks_loonies_0	all_units_excluding_guerrilla_deployment
True				wh_dlc06_grn_inf_krimson_killerz_0	all_units_excluding_guerrilla_deployment
True				wh_main_brt_cav_mounted_yeomen_0	all_units_excluding_guerrilla_deployment
True				wh_main_brt_cav_mounted_yeomen_1	all_units_excluding_guerrilla_deployment
True				wh_main_chs_cav_marauder_horsemen_0	all_units_excluding_guerrilla_deployment
True				wh_main_chs_cav_marauder_horsemen_1	all_units_excluding_guerrilla_deployment
True				wh_main_dwf_inf_miners_0	all_units_excluding_guerrilla_deployment
True				wh_main_dwf_inf_miners_1	all_units_excluding_guerrilla_deployment
True				wh_main_emp_cav_outriders_0	all_units_excluding_guerrilla_deployment
True				wh_main_emp_cav_outriders_1	all_units_excluding_guerrilla_deployment
True				wh_main_emp_cav_pistoliers_1	all_units_excluding_guerrilla_deployment
True				wh_main_grn_cav_forest_goblin_spider_riders_0	all_units_excluding_guerrilla_deployment
True				wh_main_grn_cav_forest_goblin_spider_riders_1	all_units_excluding_guerrilla_deployment
True				wh_main_grn_cav_goblin_wolf_riders_0	all_units_excluding_guerrilla_deployment
True				wh_main_grn_cav_goblin_wolf_riders_1	all_units_excluding_guerrilla_deployment
True				wh_main_grn_cha_goblin_great_shaman_1	all_units_excluding_guerrilla_deployment
True				wh_main_grn_inf_night_goblin_archers	all_units_excluding_guerrilla_deployment
True				wh_main_grn_inf_night_goblin_fanatics	all_units_excluding_guerrilla_deployment
True				wh_main_grn_inf_night_goblin_fanatics_1	all_units_excluding_guerrilla_deployment
True				wh_main_grn_inf_night_goblins	all_units_excluding_guerrilla_deployment
True				wh_main_nor_cav_marauder_horsemen_0	all_units_excluding_guerrilla_deployment
True				wh_main_nor_cav_marauder_horsemen_1	all_units_excluding_guerrilla_deployment
True				wh_main_vmp_cav_hexwraiths	all_units_excluding_guerrilla_deployment
True				wh_main_vmp_mon_dire_wolves	all_units_excluding_guerrilla_deployment
False				wh_pro04_brt_cav_mounted_yeomen_ror_0	all_units_excluding_guerrilla_deployment
False				wh_pro04_wef_cav_wild_riders_ror_0	all_units_excluding_guerrilla_deployment
False			art_fix		all_units_excluding_immune_to_psychology
False			art_fld		all_units_excluding_immune_to_psychology
False			art_siege		all_units_excluding_immune_to_psychology
False			cav_mel		all_units_excluding_immune_to_psychology
False			cav_mis		all_units_excluding_immune_to_psychology
False			cav_shk		all_units_excluding_immune_to_psychology
False			chariot		all_units_excluding_immune_to_psychology
False			com		all_units_excluding_immune_to_psychology
False			elph		all_units_excluding_immune_to_psychology
False			inf_mel		all_units_excluding_immune_to_psychology
False			inf_mis		all_units_excluding_immune_to_psychology
False			inf_pik		all_units_excluding_immune_to_psychology
False			inf_spr		all_units_excluding_immune_to_psychology
False			shp_art		all_units_excluding_immune_to_psychology
False			shp_mel		all_units_excluding_immune_to_psychology
False			shp_mis		all_units_excluding_immune_to_psychology
False			shp_trn		all_units_excluding_immune_to_psychology
False			spcl		all_units_excluding_immune_to_psychology
True				wh_dlc01_chs_cha_prince_sigvald_the_magnificent	all_units_excluding_immune_to_psychology
True				wh_dlc01_chs_inf_forsaken_0	all_units_excluding_immune_to_psychology
True				wh_dlc05_wef_cha_durthu_0	all_units_excluding_immune_to_psychology
True				wh_dlc05_wef_cha_orion_0	all_units_excluding_immune_to_psychology
True				wh_dlc05_wef_mon_treeman_0	all_units_excluding_immune_to_psychology
True				wh_dlc06_dwf_inf_old_grumblers_0	all_units_excluding_immune_to_psychology
True				wh_main_brt_cav_grail_knights	all_units_excluding_immune_to_psychology
True				wh_main_brt_cha_king_louen_leoncoeur_0	all_units_excluding_immune_to_psychology
True				wh_main_brt_cha_king_louen_leoncoeur_1	all_units_excluding_immune_to_psychology
True				wh_main_brt_cha_king_louen_leoncoeur_2	all_units_excluding_immune_to_psychology
True				wh_main_brt_cha_king_louen_leoncoeur_3	all_units_excluding_immune_to_psychology
True				wh_main_brt_cha_king_louen_leoncoeur_4	all_units_excluding_immune_to_psychology
True				wh_main_chs_cha_archaon_the_everchosen_0	all_units_excluding_immune_to_psychology
True				wh_main_chs_cha_archaon_the_everchosen_1	all_units_excluding_immune_to_psychology
True				wh_main_dwf_inf_longbeards	all_units_excluding_immune_to_psychology
True				wh_main_dwf_inf_longbeards_1	all_units_excluding_immune_to_psychology
True				wh_main_emp_cha_karl_franz_0	all_units_excluding_immune_to_psychology
True				wh_main_emp_cha_karl_franz_2	all_units_excluding_immune_to_psychology
True				wh_main_emp_cha_karl_franz_3	all_units_excluding_immune_to_psychology
True				wh_main_emp_cha_karl_franz_4	all_units_excluding_immune_to_psychology
True				wh_main_grn_cha_grimgor_ironhide	all_units_excluding_immune_to_psychology
True				wh_main_grn_inf_black_orcs	all_units_excluding_immune_to_psychology
False				wh_pro04_chs_inf_forsaken_ror_0	all_units_excluding_immune_to_psychology
False			art_fix		all_units_excluding_strider
False			art_fld		all_units_excluding_strider
False			art_siege		all_units_excluding_strider
False			cav_mel		all_units_excluding_strider
False			cav_mis		all_units_excluding_strider
False			cav_shk		all_units_excluding_strider
False			chariot		all_units_excluding_strider
False			com		all_units_excluding_strider
False			elph		all_units_excluding_strider
False			inf_mel		all_units_excluding_strider
False			inf_mis		all_units_excluding_strider
False			inf_pik		all_units_excluding_strider
False			inf_spr		all_units_excluding_strider
False			shp_art		all_units_excluding_strider
False			shp_mel		all_units_excluding_strider
False			shp_mis		all_units_excluding_strider
False			shp_trn		all_units_excluding_strider
False			spcl		all_units_excluding_strider
False				wh2_dlc15_grn_cav_forest_goblin_spider_riders_waaagh_0	all_units_excluding_strider
True				wh_dlc06_grn_cav_deff_creepers_0	all_units_excluding_strider
False				wh_dlc15_grn_mon_arachnarok_spider_waaagh_0	all_units_excluding_strider
True				wh_main_grn_cav_forest_goblin_spider_riders_0	all_units_excluding_strider
True				wh_main_grn_cav_forest_goblin_spider_riders_1	all_units_excluding_strider
True				wh_main_grn_cha_goblin_big_boss_2	all_units_excluding_strider
True				wh_main_grn_mon_arachnarok_spider_0	all_units_excluding_strider
False			art_fix		all_units_excluding_terror
False			art_fld		all_units_excluding_terror
False			art_siege		all_units_excluding_terror
False			cav_mel		all_units_excluding_terror
False			cav_mis		all_units_excluding_terror
False			cav_shk		all_units_excluding_terror
False			chariot		all_units_excluding_terror
False			com		all_units_excluding_terror
False			elph		all_units_excluding_terror
False			inf_mel		all_units_excluding_terror
False			inf_mis		all_units_excluding_terror
False			inf_pik		all_units_excluding_terror
False			inf_spr		all_units_excluding_terror
False			shp_art		all_units_excluding_terror
False			shp_mel		all_units_excluding_terror
False			shp_mis		all_units_excluding_terror
False			shp_trn		all_units_excluding_terror
False			spcl		all_units_excluding_terror
False				wh2_dlc09_tmb_cav_hexwraiths	all_units_excluding_terror
True				wh2_dlc13_emp_veh_steam_tank_imperial_supply	all_units_excluding_terror
False				wh2_dlc13_emp_veh_steam_tank_ror_0	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_lord_10	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_lord_2	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3	all_units_excluding_terror
True				wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4	all_units_excluding_terror
True				wh_dlc01_chs_cha_exalted_hero_10	all_units_excluding_terror
True				wh_dlc01_chs_cha_kholek	all_units_excluding_terror
True				wh_dlc01_chs_cha_qb_lord_of_change_0	all_units_excluding_terror
True				wh_dlc01_chs_mon_dragon_ogre_shaggoth	all_units_excluding_terror
True				wh_dlc03_bst_inf_cygor_0	all_units_excluding_terror
True				wh_dlc03_bst_mon_giant_0	all_units_excluding_terror
True				wh_dlc03_emp_cha_wizard_beasts_3	all_units_excluding_terror
True				wh_dlc04_vmp_cav_chillgheists_0	all_units_excluding_terror
True				wh_dlc05_wef_mon_great_eagle_0	all_units_excluding_terror
