technology_effects_junction_tables
0
technology	effect	effect_scope	value
tech_chs_branch_1_1	wh_main_effect_tech_recruitment_cost_reduction_marauders	faction_to_force_own_unseen	-15
tech_chs_branch_1_2	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	10
tech_chs_branch_1_3	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	10
tech_chs_branch_2_1	wh_main_effect_tech_battle_morale_increase_marauders	faction_to_force_own_unseen	5
tech_chs_branch_2_2	wh_main_effect_tech_unit_xp_levels_marauders	faction_to_character_own_unseen	2
tech_chs_branch_2_3	wh_main_effect_tech_missile_range_marauder_horsemen	faction_to_force_own_unseen	5
tech_chs_branch_2_3	wh_main_effect_tech_movement_speed_increase_chaos_warhounds	faction_to_force_own_unseen	10
tech_chs_branch_2_3	wh_main_effect_tech_movement_speed_increase_marauders	faction_to_force_own_unseen	10
tech_chs_branch_2_4	wh_main_effect_force_all_campaign_razing_income	faction_to_faction_own_unseen	20
tech_chs_branch_3_1	wh_main_effect_tech_battle_morale_increase_chaos_warriors	faction_to_force_own_unseen	5
tech_chs_branch_3_2	wh_main_effect_tech_unit_xp_levels_chaos_warriors	faction_to_character_own_unseen	2
tech_chs_branch_3_3	wh_main_effect_tech_charge_speed_increase_chaos_trolls	faction_to_force_own_unseen	10
tech_chs_branch_3_3	wh_main_effect_tech_melee_attack_increase_chaos_spawns	faction_to_force_own_unseen	5
tech_chs_branch_3_3	wh_main_effect_tech_melee_damage_increase_chaos_spawns	faction_to_force_own_unseen	5
tech_chs_branch_3_3	wh_main_effect_tech_melee_damage_increase_forsaken	faction_to_force_own_unseen	10
tech_chs_branch_3_3	wh_main_effect_tech_melee_defence_increase_chaos_trolls	faction_to_force_own_unseen	5
tech_chs_branch_3_4	wh_main_effect_tech_melee_attack_increase_chaos_warriors_chosen	faction_to_force_own_unseen	5
tech_chs_branch_3_5	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_character_own_unseen	20
tech_chs_branch_4_1	wh_main_effect_tech_battle_morale_increase_chaos_knights_chosen	faction_to_force_own_unseen	5
tech_chs_branch_4_2	wh_main_effect_agent_recruitment_xp_champion_chaos	faction_to_force_own_unseen	2
tech_chs_branch_4_2	wh_main_effect_tech_recruitment_cost_reduction_chaos_warriors	faction_to_force_own_unseen	-10
tech_chs_branch_4_3	wh_main_effect_tech_unit_xp_levels_chaos_knights_chosen	faction_to_character_own_unseen	2
tech_chs_branch_4_4	wh_main_effect_tech_melee_defence_increase_chaos_warriors_knights	faction_to_force_own_unseen	5
tech_chs_branch_4_5	wh_main_effect_agent_movement_range_mod	faction_to_character_own_unseen	10
tech_chs_branch_4_5	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_branch_5_1	wh_main_effect_tech_ammunition_increase_hellcannons	faction_to_force_own_unseen	15
tech_chs_branch_5_1	wh_main_effect_tech_melee_damage_increase_chaos_chariots	faction_to_force_own_unseen	10
tech_chs_branch_5_1	wh_main_effect_tech_missile_rate_of_fire_increase_chaos_hellcannon	faction_to_force_own_unseen	15
tech_chs_branch_5_1	wh_main_effect_tech_recruitment_cost_reduction_chaos_chariots_hellcannons	faction_to_force_own_unseen	-10
tech_chs_branch_5_2	wh_main_effect_tech_armour_increase_chaos_knights_chosen	faction_to_force_own_unseen	5
tech_chs_branch_5_3	wh_main_effect_agent_recruitment_xp_wizard_chaos	faction_to_force_own_unseen	2
tech_chs_branch_5_3	wh_main_effect_tech_recruitment_cost_reduction_chaos_knights_chosen	faction_to_force_own_unseen	-10
tech_chs_branch_5_4	wh_main_effect_tech_melee_attack_increase_chaos_knights	faction_to_force_own_unseen	5
tech_chs_branch_5_4	wh_main_effect_tech_melee_damage_increase_chaos_knights	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_charge_speed_increase_chs_manticores	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_melee_attack_increase_dragon_ogre_saggoths	faction_to_force_own_unseen	5
tech_chs_branch_5_5	wh_main_effect_tech_melee_attack_increase_dragon_ogres	faction_to_force_own_unseen	7
tech_chs_branch_5_5	wh_main_effect_tech_melee_damage_increase_chaos_giants	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_melee_damage_increase_chs_manticores	faction_to_force_own_unseen	10
tech_chs_branch_5_5	wh_main_effect_tech_recruitment_cost_reduction_chaos_giants	faction_to_force_own_unseen	-10
tech_chs_main_1	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_1	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	1
tech_chs_main_2	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_2	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	2
tech_chs_main_3	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_3	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	3
tech_chs_main_4	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_4	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	4
tech_chs_main_5	wh_main_effect_force_all_campaign_replenishment_rate_horde	faction_to_character_own_unseen	5
tech_chs_main_5	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	5
tech_cst_admirals_00	wh2_dlc11_effect_force_army_campaign_attrition_storm_reef_immunity	faction_to_force_own	1
tech_cst_admirals_01	wh2_dlc11_effect_tech_cst_admirals_01	faction_to_faction_own_unseen	1
tech_cst_admirals_02	wh2_dlc11_effect_tech_cst_admirals_02	faction_to_faction_own_unseen	1
tech_cst_admirals_03	wh2_dlc11_effect_tech_cst_admirals_03	faction_to_faction_own_unseen	1
tech_cst_admirals_04	wh2_dlc11_effect_tech_cst_admirals_04	faction_to_faction_own_unseen	1
tech_cst_command_00	wh2_dlc11_cst_morale_deckhand_mobs	faction_to_force_own_unseen	5
tech_cst_command_01	wh2_dlc11_effect_tech_unit_xp_levels_cst_infantry	faction_to_character_own_unseen	2
tech_cst_command_02	wh2_dlc11_agent_recruit_xp_tech_coast	faction_to_force_own_unseen	5
tech_cst_command_02	wh_main_effect_agent_recruitment_xp_all_agents	faction_to_province_own_unseen	5
tech_cst_command_03	wh2_dlc11_cst_tech_effect_lord_recruit_rank_increase	faction_to_force_own_unseen	5
tech_cst_command_03	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	5
tech_cst_command_03	wh_main_faction_xp_increase_generals_hidden	faction_to_force_own_unseen	5
tech_cst_command_04	wh2_dlc11_effect_building_construction_cost_mod_economy	faction_to_region_own_unseen	-15
tech_cst_command_05	wh_main_effect_public_order_tech	faction_to_province_own_unseen	2
tech_cst_command_06	wh2_main_effect_building_construction_time_mod_all	faction_to_region_own_unseen	-35
tech_cst_command_07	wh2_dlc11_effect_tech_army_campaign_upkeep_cost_infantry	faction_to_force_own_unseen	-15
tech_cst_command_08	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	10
tech_cst_command_09	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	5
tech_cst_command_10	wh2_dlc11_effect_tech_cst_command_10	faction_to_faction_own_unseen	1
tech_cst_command_11	wh2_dlc11_effect_tech_cst_command_11	faction_to_faction_own_unseen	1
tech_cst_command_12	wh2_dlc11_effect_tech_cst_command_12	faction_to_faction_own_unseen	1
tech_cst_firearms_00	wh2_dlc11_cst_missile_damage_infantry_ranged	faction_to_force_own_unseen	5
tech_cst_firearms_01	wh_dlc11_tech_effect_force_army_battle_artillery_damage	faction_to_force_own_unseen	10
tech_cst_firearms_02	wh_dlc11_tech_effect_force_army_battle_artillery_ranged_ammunition	faction_to_force_own_unseen	20
tech_cst_firearms_03	wh_dlc11_tech_effect_force_army_campaign_experience_base_artillery	faction_to_character_own_unseen	2
tech_cst_firearms_04	wh2_dlc11_tech_effect_upkeep_reduction_artillery	faction_to_force_own_unseen	-15
tech_cst_firearms_05	wh2_dlc11_tech_effect_battle_infantry_missile_range	faction_to_force_own_unseen	10
tech_cst_firearms_06	wh2_dlc11_effect_tech_ranged_armor_pierce	faction_to_force_own_unseen	20
tech_cst_firearms_07	wh2_dlc11_effect_tech_cst_firearms_07	faction_to_faction_own_unseen	1
tech_cst_firearms_08	wh2_dlc11_effect_tech_cst_firearms_08	faction_to_faction_own_unseen	1
tech_cst_firearms_09	wh2_dlc11_effect_tech_cst_vampiric_12	faction_to_faction_own_unseen	1
tech_cst_piracy_00	wh2_main_effect_agent_recruitment_cost_mod_general	faction_to_province_own_unseen	-75
tech_cst_piracy_01	wh2_dlc11_effect_tech_stat_mod_bonus_v_large_deckhands_depth_guard	faction_to_force_own_unseen	3
tech_cst_piracy_02	wh2_dlc11_tech_cst_ammo_infantry_ranged	faction_to_force_own_unseen	15
tech_cst_piracy_03	wh2_dlc11_effect_force_unit_stat_weapon_damage_deckhands_depthguards	faction_to_force_own_unseen	20
tech_cst_piracy_04	wh2_dlc11_effect_campaign_sacking_income_wood_elves	faction_to_faction_own_unseen	200
tech_cst_piracy_04	wh_dlc08_effect_tech_army_campaign_attrition_athel_loren_resistance	faction_to_force_own_unseen	-50
tech_cst_piracy_05	wh2_dlc11_cst_tech_effect_armour_piercing_necrofex_colossus	faction_to_force_own_unseen	10
tech_cst_piracy_05	wh2_dlc11_effect_tech_recruitment_cost_reduction_cst_necrofex_colossus	faction_to_force_own_unseen	-10
tech_cst_piracy_07	wh2_dlc11_effect_campaign_sacking_income_dark_elves	faction_to_faction_own_unseen	100
tech_cst_piracy_07	wh2_main_effect_force_unit_stat_morale_versus_dark_elves	faction_to_force_own_unseen	5
tech_cst_piracy_08	wh2_dlc11_effect_character_stat_mod_ward_save_vs_skaven	faction_to_force_own_unseen	10
tech_cst_piracy_09	wh2_dlc11_effect_army_battle_ap_damage_vs_chaos	faction_to_force_own_unseen	5
tech_cst_piracy_09	wh2_dlc11_effect_tech_stat_mod_bonus_v_large_deckhands_prometheans_depth_guard_v_chaos	faction_to_force_own_unseen	5
tech_cst_piracy_10	wh2_dlc11_effect_force_charge_increase_vs_norsca	faction_to_force_own_unseen	10
tech_cst_piracy_10	wh_main_effect_tech_xp_gain_increase_norsca	faction_to_force_own_unseen	100
tech_cst_piracy_11	wh2_dlc11_effect_force_unit_stat_missile_damage_gunnery_mobs_promethean_gun_mobs_deck_droppers_v_beastmen	faction_to_force_own_unseen	10
tech_cst_piracy_11	wh2_dlc11_effect_general_aura_mod_fighting_beastmen	faction_to_force_own_unseen	50
tech_cst_piracy_12	wh2_dlc11_effect_force_unit_stat_armour_versus_greenskins	faction_to_force_own_unseen	5
tech_cst_piracy_12	wh_dlc08_effect_tech_ammunition_increase_versus_greenskins	faction_to_force_own_unseen	10
tech_cst_piracy_13	wh2_dlc11_effect_tech_stat_mod_missile_damage	faction_to_force_own_unseen	5
tech_cst_piracy_14	wh2_dlc11_effect_tech_stat_mod_bonus_v_small_deckhands_zombie_gunnery_mobs_deck_droppers	faction_to_force_own_unseen	3
tech_cst_piracy_15	wh2_dlc11_effect_force_army_campaign_attrition_maelstrom_immunity	faction_to_force_own	1
tech_cst_piracy_15	wh2_dlc11_effect_tech_xp_gain_increase_vampire_coast	faction_to_force_own_unseen	100
tech_cst_vampiric_00	wh2_dlc11_effect_unit_all_zombie_infantry_campaign_replenishment_rate	faction_to_force_own_unseen	10
tech_cst_vampiric_01	wh_main_effect_religion_conversion_undeath_technologies	faction_to_faction_own	2
tech_cst_vampiric_02	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_unseen	10
tech_cst_vampiric_03	wh2_dlc11_cst_tech_effect_charge_bonus_monsters	faction_to_force_own_unseen	15
tech_cst_vampiric_03	wh2_dlc11_cst_tech_effect_speed_animated_hulks_prometheans_mournguls_leviathan	faction_to_force_own_unseen	10
tech_cst_vampiric_04	wh_main_effect_raise_dead_recruitment_cost_mod	faction_to_character_own_unseen	-10
tech_cst_vampiric_05	wh2_dlc11_tech_effect_infantry_defence	faction_to_force_own_unseen	5
tech_cst_vampiric_06	wh2_dlc11_tech_effect_unit_stat_vs_missile_fell_bats_animated_hulks_mournguls_deck_droppers	faction_to_force_own_unseen	20
tech_cst_vampiric_07	wh2_dlc11_effect_unit_stat_mod_ward_save_magic_cst_animated_hulks_mournguls	faction_to_force_own_unseen	20
tech_cst_vampiric_08	wh2_dlc11_effect_tech_vs_physical_cst_prometheans_leviathans_necrofex_colossus	faction_to_force_own_unseen	20
tech_cst_vampiric_09	wh2_dlc11_effect_tech_recruitment_time_reduction_cst_animated_hulks_prometheans_leviathan_necrofex_colossus	faction_to_force_own_unseen	-1
tech_cst_vampiric_09	wh2_dlc11_effect_tech_upkeep_cost_reduction_cst_animated_hulks_bloated_corpses_prometheans_leviathan_necrofex_colossus	faction_to_force_own_unseen	-10
tech_cst_vampiric_10	wh2_dlc11_effect_tech_cst_vampiric_10	faction_to_faction_own_unseen	1
tech_cst_vampiric_11	wh2_dlc11_effect_tech_cst_vampiric_11	faction_to_faction_own_unseen	1
tech_cst_vampiric_12	wh2_dlc11_effect_tech_cst_firearms_09	faction_to_faction_own_unseen	1
tech_dcl14_brt_chivalry_tomb_kings_2	wh2_dlc09_effect_diplomacy_bonus_tomb_kings_technology	faction_to_faction_own_unseen	-50
tech_dcl14_brt_chivalry_tomb_kings_2	wh2_dlc14_effect_xp_gain_increase_versus_tomb_kings	faction_to_force_own_unseen	100
tech_dcl14_brt_chivalry_tomb_kings_2	wh_dlc07_effect_increased_chivalry_tomb_kings	faction_to_faction_own_unseen	3
tech_dcl14_brt_chivalry_tomb_kings_2	wh_dlc08_effect_tech_melee_damage_increase_vs_tomb_kings	faction_to_force_own_unseen	10
tech_def_0_0_0	wh2_main_effect_slave_income_modifier	faction_to_province_own_unseen	3
tech_def_0_1_0	wh2_main_effect_tech_recruitment_cost_reduction_def_militia	faction_to_force_own_unseen	-5
tech_def_0_1_1	wh2_main_effect_tech_movement_speed_def_militia_corsair	faction_to_force_own_unseen	10
