projectiles_explosions_tables
18
key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	projectile_name	explosion_particle_effect	distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	shrapnel	fuse_distance_from_target	fuse_fixed_time	affects_allies
boiling_oil_splash	percussive	boiling_oil	2	3	2	2		wh_main_generic_spherical_explosion_large	0				0	False	0		100	-1	True
default_fire_spread	percussive	none	5	4	2	20		wh_main_generic_spherical_explosion_large	0				0	False	0		100	-1	True
fire_ignition	percussive	fire_ignition	5	10	4	5			0				0	False	0		100	-1	True
fire_ignition_l	percussive	fire_ignition	7	0	4	5			0	wh_main_generic_explosion_medium			0	False	0		100	-1	True
fire_spread	percussive	none	7	4	2	4			0	wh_main_generic_explosion_medium			0	False	0		100	-1	True
wh2_dlc09_casket_of_souls	percussive	shockwave	3	1	12	24		wh2_dlc09_machine_casket_of_souls_explosion	0		wh2_casket_of_souls		0	True	56	wh_main_unit_explosion_light	250	-1	True
wh2_dlc09_screaming_skull_explosion	percussive	shockwave	4	0	12	30			0		wh2_screamingskull_catapult	wh_main_unit_contact_overhead_morale	0	True	65	wh_main_unit_explosion_light	110	-1	True
wh2_dlc09_screaming_skull_explosion_1	percussive	shockwave	4	0	7	65			0		wh2_screamingskull_catapult	wh_main_unit_contact_overhead_morale	0	True	35	wh_main_unit_explosion_light	100	-1	True
wh2_dlc09_screaming_skull_explosion_2	percussive	shockwave	5	0	7	70			0		wh2_screamingskull_catapult	wh_main_unit_contact_overhead_morale	0	True	50	wh_main_unit_explosion_light	150	-1	True
wh2_dlc09_tmb_stalker_gaze_explosion	percussive	shockwave	5	0	8	37			0		wh2_dlc_tmb_stalker_gaze		0	True	8	wh_main_unit_explosion_light	10	-1	False
wh2_dlc09_tmb_ushabti_bolt_ror	fuse	shockwave	6	1	10	52	ushabti_shrapnel	wh2_dlc09_lib_sepultural_stalker_impact	20		wh2_screamingskull_catapult		0	False	26	wh_main_unit_explosion_light	100	-1	True
wh2_dlc09_tmb_ushabti_bolt_ror_shrapnel	percussive	shockwave	6	1	10	52		wh2_dlc09_lib_sepultural_stalker_impact	-1		wh2_screamingskull_catapult		0	False	26	wh_main_unit_explosion_light	100	1	True
wh2_dlc09_unit_abilities_death_from_above	percussive	shockwave	5	0	11	54		wh_main_weapon_gyrocopter_grenade	0		wh2_terradon_bomb		0	False	24	wh_main_unit_explosion_medium	450	-1	True
wh2_dlc10_abilities_frost_breath_explosion	percussive	shockwave	5	0	11	36		wh2_dlc10_frostbreath_impact	0		wh2_dlc10_dragon_breath_ice_multi	wh_dlc08_unit_contact_frostbite	0	False	20	wh_main_unit_explosion_light	5	-1	True
wh2_dlc10_bone_giant_explosion	percussive	shockwave	4	0	10	102		wh2_dlc10_bone_giant_impact	0		wh2_dlc_10_bone_arrow_explosion		0	True	66	wh_main_unit_explosion_heavy	200	-1	True
wh2_dlc10_item_abilities_the_amber_trance_miscast	percussive	shockwave	2	1	20	0		wh_main_generic_entity_buff_morale	0			wh2_dlc10_item_abilities_the_amber_trance_miscast	0	False	0		1	-1	True
wh2_dlc10_item_bound_assault_of_stone	percussive	shockwave	5	0	12	0		wh2_dlc10_stone_explosion	0		wh_large_rock		0	True	60	wh_main_unit_explosion_medium	220	-1	True
