special_ability_phase_attribute_effects_tables
1
attribute	phase	attribute_type
stalk	wh2_dlc09_army_abilities_sand_veil	positive
unspottable	wh2_dlc09_army_abilities_sand_veil	positive
rampage	wh2_dlc09_character_abilities_curse_of_djaf	positive
stalk	wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast	positive
unspottable	wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast	positive
causes_terror	wh2_dlc09_character_abilities_strike_of_nagash	positive
causes_terror	wh2_dlc09_character_abilities_strike_of_nehekhara	positive
causes_terror	wh2_dlc09_character_abilities_strike_of_tombs	positive
stalk	wh2_dlc09_item_abilities_cloak_of_the_dunes	positive
unspottable	wh2_dlc09_item_abilities_cloak_of_the_dunes	positive
stalk	wh2_dlc09_quest_passive_full_hide	positive
unspottable	wh2_dlc09_quest_passive_full_hide	positive
stalk	wh2_dlc10_item_abilities_speed_of_lykos	positive
unspottable	wh2_dlc10_item_abilities_speed_of_lykos	positive
rampage	wh2_dlc10_lord_abilities_gaze_of_khaine	positive
snipe	wh2_dlc10_lord_abilities_mislead	positive
stalk	wh2_dlc10_lord_abilities_mislead	positive
unspottable	wh2_dlc10_lord_abilities_mislead	positive
immune_to_psychology	wh2_dlc10_lord_passive_boon_of_isha	positive
rampage	wh2_dlc10_quest_abilities_insane_head	positive
unbreakable	wh2_dlc10_unit_passive_unbreakable_hidden	positive
fatigue_immune	wh2_dlc10_weapon_passive_ironwardens_hammer	positive
causes_terror	wh2_dlc10_weapon_passive_shadow_of_khaine	positive
unbreakable	wh2_dlc10_weapon_passive_shadow_of_khaine	positive
unbreakable	wh2_dlc11_item_abilities_moonshine	positive
rampage	wh2_dlc12_lord_abilities_focus_instincts	negative
unbreakable	wh2_dlc12_lord_passive_adrenaline_rush	positive
rampage	wh2_dlc12_unit_abilities_toad_rage	positive
immune_to_psychology	wh2_dlc12_unit_passive_demagoguery	positive
unbreakable	wh2_dlc12_unit_passive_witness_me	positive
unbreakable	wh2_dlc13_character_ability_hunters_call	positive
charge_reflector	wh2_dlc13_item_abilities_shield_of_aeons	positive
fatigue_immune	wh2_dlc13_item_passive_golden_tributes	positive
rampage	wh2_dlc13_lord_abilities_primal_roar	positive
unbreakable	wh2_dlc13_lord_passive_merely_a_fleshwound	positive
immune_to_psychology	wh2_dlc13_unit_passive_grim_resolve	positive
charge_reflector_vs_large	wh2_dlc13_weapon_abilities_ostermark_runefang	positive
snipe	wh2_dlc14_character_abilities_from_the_shadows	positive
stalk	wh2_dlc14_character_abilities_from_the_shadows	positive
unspottable	wh2_dlc14_character_abilities_from_the_shadows	positive
unspottable	wh2_dlc14_unit_abilities_doppelgang	positive
rampage	wh2_dlc15_abilities_fermented_fungi	positive
causes_fear	wh2_dlc15_army_abilities_azhags_big_waaagh	positive
causes_terror	wh2_dlc15_army_abilities_azhags_big_waaagh	positive
causes_fear	wh2_dlc15_army_abilities_azhags_waaagh	positive
causes_terror	wh2_dlc15_army_abilities_azhags_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_big_waaagh	positive
snipe	wh2_dlc15_army_abilities_envelop_in_mist	positive
stalk	wh2_dlc15_army_abilities_envelop_in_mist	positive
unspottable	wh2_dlc15_army_abilities_envelop_in_mist	positive
immune_to_psychology	wh2_dlc15_army_abilities_grimgors_big_waaagh	positive
immune_to_psychology	wh2_dlc15_army_abilities_grimgors_waaagh	positive
