special_ability_phases_tables
35
duration	effect_type	id	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	heal_amount	damage_chance	damage_amount	max_damaged_entites	heal_amount_duplicate	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	recharge_time	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group
48	positive	wh2_dlc09_army_abilities_rictus_clanstone		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0			wh2_main_ability_mors_clanstone	-1	False	True	True	0	
73	positive	wh2_dlc09_army_abilities_sand_veil		False	False	False	0	0	0	0	0	0	0	0	0	False	0	0	False	0		wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_ability_sand_veil_one_shot	-1	False	True	True	0	
18	negative	wh2_dlc09_army_ability_tomb_swarm		False	False	False	0	0	0	1	0	0.18	9	18	0	False	0	0	False	0		wh2_dlc09_army_abilities_tomb_swarm	wh2_dlc09_ability_tmb_negative	-1	False	True	True	0	
-1	positive	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0				-1	True	True	True	0	
22	negative	wh2_dlc09_character_abilities_curse_of_djaf		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh2_dlc09_abilities_curse_of_djaf	wh2_dlc09_ability_curse_of_djaf	-1	False	True	True	0	
25	negative	wh2_dlc09_character_abilities_curse_of_khsar		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_debuff_defence	wh2_dlc09_ability_tmb_negative	-1	False	True	True	0	
20	positive	wh2_dlc09_character_abilities_restore		False	False	False	0	0	0	0.5	24	0	0	-1	24	False	0	0	False	0		wh_main_generic_hp_regen	wh2_dlc09_ability_tmb_positive	-1	False	True	True	0	
31	positive	wh2_dlc09_character_abilities_stay_here_ill_get_help		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_morale	wh_ability_positive	-1	False	True	True	0	
31	positive	wh2_dlc09_character_abilities_stay_here_ill_get_help_miscast		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh2_main_spell_ruin_skitterleap		-1	False	True	False	0	
27	positive	wh2_dlc09_character_abilities_strike_of_nagash		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack	wh_ability_positive	-1	False	True	True	0	
23	positive	wh2_dlc09_character_abilities_strike_of_nehekhara		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack	wh_ability_positive	-1	False	True	True	0	
23	positive	wh2_dlc09_character_abilities_strike_of_tombs		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack	wh_ability_positive	-1	False	True	True	0	
14	positive	wh2_dlc09_character_abilities_tomb_king_rally		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_morale	wh2_dlc09_ability_tmb_positive	-1	False	True	True	0	
10	positive	wh2_dlc09_character_abilities_tomb_king_rally_upgraded		False	False	False	0	0	0	0.5	24	0	0	-1	24	False	0	0	False	0		wh_main_generic_buff_morale	wh2_dlc09_ability_tmb_positive	-1	False	True	True	0	
23	negative	wh2_dlc09_character_passive_befalling_curse		False	False	False	0.18	0	0	1	0	0.18	6	18	0	False	0	0	False	0		wh2_dlc09_abilities_befalling_curse		-1	False	True	True	0	
-1	positive	wh2_dlc09_character_passive_blessing_of_asaph		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh2_dlc09_abilities_blessing_of_asaph		-1	False	True	True	0	
-1	positive	wh2_dlc09_character_passive_stone_shaper		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_defence_passive		-1	False	True	True	0	
-1	positive	wh2_dlc09_character_passive_tretchs_raiders		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh_main_generic_buff_attack_passive		-1	False	True	False	0	
-1	positive	wh2_dlc09_character_passive_true_blessing_of_asaph		False	False	False	0	0	0	0	0	0	0	-1	0	False	0	0	False	0		wh2_dlc09_abilities_blessing_of_asaph		-1	False	True	True	0	
