special_ability_to_special_ability_phase_junctions_tables
1
order	phase	special_ability
1	wh2_dlc09_army_abilities_rictus_clanstone	wh2_dlc09_army_abilities_rictus_clanstone
1	wh2_dlc09_army_abilities_sand_veil	wh2_dlc09_army_abilities_sand_veil
1	wh2_dlc09_army_ability_tomb_swarm	wh2_dlc09_army_abilities_tomb_swarm
1	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger
1	wh2_dlc09_character_abilities_curse_of_djaf	wh2_dlc09_character_abilities_curse_of_djaf
1	wh2_dlc09_character_abilities_curse_of_khsar	wh2_dlc09_character_abilities_curse_of_khsar
1	wh2_dlc09_character_abilities_restore	wh2_dlc09_character_abilities_restore
1	wh2_dlc09_character_abilities_stay_here_ill_get_help	wh2_dlc09_character_abilities_stay_here_ill_get_help
1	wh2_dlc09_character_abilities_strike_of_nagash	wh2_dlc09_character_abilities_strike_of_nagash
1	wh2_dlc09_character_abilities_strike_of_nehekhara	wh2_dlc09_character_abilities_strike_of_nehekhara
1	wh2_dlc09_character_abilities_strike_of_tombs	wh2_dlc09_character_abilities_strike_of_tombs
1	wh2_dlc09_character_abilities_tomb_king_rally	wh2_dlc09_character_abilities_tomb_king_rally
1	wh2_dlc09_character_abilities_tomb_king_rally_upgraded	wh2_dlc09_character_abilities_tomb_king_rally_upgraded
1	wh2_dlc09_character_passive_befalling_curse	wh2_dlc09_character_passive_befalling_curse
1	wh2_dlc09_character_passive_blessing_of_asaph	wh2_dlc09_character_passive_blessing_of_asaph
1	wh2_dlc09_character_passive_stone_shaper	wh2_dlc09_character_passive_stone_shaper
1	wh2_dlc09_character_passive_tretchs_raiders	wh2_dlc09_character_passive_tretchs_raiders
1	wh2_dlc09_character_passive_true_blessing_of_asaph	wh2_dlc09_character_passive_true_blessing_of_asaph
1	wh2_dlc09_character_passive_unyielding_will	wh2_dlc09_character_passive_unyielding_will
1	wh2_dlc09_character_passive_wrath_of_the_creator	wh2_dlc09_character_passive_wrath_of_the_creator
1	wh2_dlc09_faction_passive_realm_of_souls_tier_1	wh2_dlc09_faction_passive_realm_of_souls_tier_1
1	wh2_dlc09_faction_passive_realm_of_souls_tier_2	wh2_dlc09_faction_passive_realm_of_souls_tier_2
1	wh2_dlc09_faction_passive_realm_of_souls_tier_3	wh2_dlc09_faction_passive_realm_of_souls_tier_3
1	wh2_dlc09_item_abilities_amulet_of_phastah	wh2_dlc09_item_abilities_amulet_of_phastah
1	wh2_dlc09_item_abilities_cloak_of_the_dunes	wh2_dlc09_item_abilities_cloak_of_the_dunes
1	wh2_dlc09_item_abilities_elixir_of_might	wh2_dlc09_item_abilities_elixir_of_might
1	wh2_dlc09_item_abilities_enkhils_kanopi	wh2_dlc09_item_abilities_enkhils_kanopi
1	wh2_dlc09_item_abilities_hieratic_jar	wh2_dlc09_item_abilities_hieratic_jar
1	wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations	wh2_dlc09_item_abilities_neferras_scrolls_of_mighty_incantations
1	wh2_dlc09_item_abilities_staff_of_nagash	wh2_dlc09_item_abilities_staff_of_nagash
1	wh2_dlc09_item_passive_crown_of_nehekhara	wh2_dlc09_item_passive_crown_of_nehekhara
1	wh2_dlc09_item_passive_lucky_skullhelm	wh2_dlc09_item_passive_lucky_skullhelm
1	wh2_dlc09_item_passive_scorpion_armour	wh2_dlc09_item_passive_scorpion_armour
1	wh2_dlc09_item_passive_vambraces_of_the_sun	wh2_dlc09_item_passive_vambraces_of_the_sun
