special_ability_phase_stat_effects_tables
3
phase	value	stat	how
wh2_dlc09_army_abilities_rictus_clanstone	32	stat_bonus_vs_large	add
wh2_dlc09_character_abilities_curse_of_djaf	-24	stat_melee_attack	add
wh2_dlc09_character_abilities_curse_of_khsar	-60	stat_armour	add
wh2_dlc09_character_abilities_stay_here_ill_get_help	16	stat_morale	add
wh2_dlc09_character_abilities_strike_of_nagash	1.9	stat_melee_damage_base	mult
wh2_dlc09_character_abilities_strike_of_nehekhara	40	stat_melee_attack	add
wh2_dlc09_character_abilities_strike_of_nehekhara	1.6	stat_melee_damage_base	mult
wh2_dlc09_character_abilities_strike_of_tombs	24	stat_melee_attack	add
wh2_dlc09_character_abilities_strike_of_tombs	1.3	stat_melee_damage_base	mult
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	16	stat_morale	add
wh2_dlc09_character_abilities_tomb_king_rally	16	stat_morale	add
wh2_dlc09_character_passive_blessing_of_asaph	1.15	scalar_missile_damage_ap	mult
wh2_dlc09_character_passive_blessing_of_asaph	1.15	scalar_missile_damage_base	mult
wh2_dlc09_character_passive_blessing_of_asaph	15	stat_reloading	add
wh2_dlc09_character_passive_stone_shaper	15	stat_armour	add
wh2_dlc09_character_passive_stone_shaper	10	stat_resistance_missile	add
wh2_dlc09_character_passive_tretchs_raiders	9	stat_melee_attack	add
wh2_dlc09_character_passive_tretchs_raiders	1.12	stat_melee_damage_ap	mult
wh2_dlc09_character_passive_tretchs_raiders	1.12	stat_melee_damage_base	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	1.2	scalar_missile_damage_ap	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	1.2	scalar_missile_damage_base	mult
wh2_dlc09_character_passive_true_blessing_of_asaph	25	stat_reloading	add
wh2_dlc09_character_passive_unyielding_will	5	stat_melee_attack	add
wh2_dlc09_character_passive_unyielding_will	5	stat_melee_defence	add
wh2_dlc09_character_passive_wrath_of_the_creator	5	stat_melee_attack	add
wh2_dlc09_character_passive_wrath_of_the_creator	1.06	stat_melee_damage_ap	mult
wh2_dlc09_item_abilities_amulet_of_phastah	-30	stat_armour	add
wh2_dlc09_item_abilities_amulet_of_phastah	-48	stat_missile_block_chance	add
wh2_dlc09_item_abilities_elixir_of_might	24	stat_melee_attack	add
wh2_dlc09_item_abilities_elixir_of_might	1.6	stat_melee_damage_base	mult
wh2_dlc09_item_abilities_enkhils_kanopi	66	stat_resistance_magic	add
wh2_dlc09_item_passive_crown_of_nehekhara	1.08	stat_charge_bonus	mult
wh2_dlc09_item_passive_crown_of_nehekhara	1.12	stat_melee_damage_ap	mult
wh2_dlc09_item_passive_crown_of_nehekhara	1.12	stat_melee_damage_base	mult
wh2_dlc09_item_passive_lucky_skullhelm	1.24	scalar_speed	mult
wh2_dlc09_item_passive_lucky_skullhelm	33	stat_resistance_all	add
wh2_dlc09_item_passive_scorpion_armour	22	stat_resistance_all	add
wh2_dlc09_item_passive_vambraces_of_the_sun	-9	stat_melee_attack	add
wh2_dlc09_item_passive_vambraces_of_the_sun	-22	stat_weakness_flame	add
wh2_dlc09_lord_abilities_the_liber_mortis	8	stat_morale	add
wh2_dlc09_lord_abilities_the_liber_mortis	44	stat_resistance_physical	add
wh2_dlc09_lord_passive_my_will_be_done	5	stat_melee_attack	add
wh2_dlc09_lord_passive_my_will_be_done	5	stat_melee_defence	add
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	16	stat_bonus_vs_large	add
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	1.25	stat_melee_damage_ap	mult
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades_upgraded	1.25	stat_melee_damage_base	mult
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	1.25	stat_melee_damage_ap	mult
wh2_dlc09_spell_nehekhara_djafs_incantation_of_cursed_blades	1.25	stat_melee_damage_base	mult
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection_upgraded	44	stat_resistance_physical	add
wh2_dlc09_spell_nehekhara_nerus_incantation_of_protection	44	stat_resistance_physical	add
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	1.4	scalar_missile_damage_ap	mult
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	1.4	scalar_missile_damage_base	mult
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting_upgraded	40	stat_reloading	add
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	1.4	scalar_missile_damage_ap	mult
wh2_dlc09_spell_nehekhara_ptras_incantation_of_righteous_smiting	1.4	scalar_missile_damage_base	mult
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	-40	stat_melee_attack	add
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation_upgraded	-24	stat_melee_defence	add
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	-24	stat_melee_attack	add
wh2_dlc09_spell_nehekhara_usekhps_incantation_of_desiccation	-24	stat_melee_defence	add
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance_upgraded	0.52	scalar_speed	mult
wh2_dlc09_spell_nehekhara_usirians_incantation_of_vengeance	0.76	scalar_speed	mult
wh2_dlc09_unit_contact_shieldbreaker	-24	stat_missile_block_chance	add
wh2_dlc09_unit_passive_guardian	15	stat_resistance_physical	add
wh2_dlc09_weapon_abilities_blade_of_setep	-30	stat_armour	add
wh2_dlc09_weapon_abilities_blade_of_setep	-22	stat_resistance_physical	add
wh2_dlc10_character_abilities_entangle	-22	stat_weakness_flame	add
wh2_dlc10_hef_unit_passive_ability_guardian	15	stat_resistance_physical	add
wh2_dlc10_hero_passive_quicksilver_shot	10	stat_reloading	add
wh2_dlc10_item_abilities_fear_of_aramar	-24	stat_morale	add
wh2_dlc10_item_abilities_speed_of_lykos	1.24	scalar_speed	mult
wh2_dlc10_item_abilities_stave_of_avelorn	0	scalar_miscast_chance	mult
wh2_dlc10_item_abilities_the_amber_trance_miscast	8	stat_morale	add
wh2_dlc10_item_abilities_the_amber_trance	-8	stat_morale	add
wh2_dlc10_item_passive_amulet_of_dark_fire	22	stat_resistance_magic	add
wh2_dlc10_item_passive_dragon_slayers_fang	23	stat_armour	add
wh2_dlc10_item_passive_dragon_slayers_fang	9	stat_melee_defence	add
wh2_dlc10_item_passive_gate_keepers_belt	33	stat_resistance_all	add
wh2_dlc10_item_passive_gate_keepers_helm	22	stat_resistance_magic	add
wh2_dlc10_item_passive_gate_keepers_helm	11	stat_resistance_missile	add
wh2_dlc10_item_passive_ironbeards_bracers	1.12	scalar_speed	mult
wh2_dlc10_item_passive_ironbeards_bracers	33	stat_resistance_physical	add
wh2_dlc10_item_passive_ironbeards_ring	-22	stat_weakness_flame	add
wh2_dlc10_item_passive_ironwardens_shield	12	stat_resistance_all	add
wh2_dlc10_item_passive_old_guards_armour	-9	stat_melee_attack	add
wh2_dlc10_item_passive_prospectors_spyglass	15	stat_accuracy	add
wh2_dlc10_item_passive_ring_of_vengeance	5	stat_melee_attack	add
wh2_dlc10_item_passive_ring_of_vengeance	12	stat_morale	add
wh2_dlc10_item_passive_shieldstone_of_isha	12	stat_resistance_physical	add
wh2_dlc10_item_passive_stone_of_midnight	22	stat_resistance_missile	add
wh2_dlc10_item_passive_the_shadow_crown	1.18	scalar_speed	mult
wh2_dlc10_item_passive_the_shadow_crown	5	stat_melee_defence	add
wh2_dlc10_lord_abilities_gaze_of_khaine	24	stat_melee_attack	add
wh2_dlc10_lord_abilities_gaze_of_khaine	1.3	stat_melee_damage_base	mult
wh2_dlc10_lord_abilities_gaze_of_khaine	8	stat_morale	add
wh2_dlc10_lord_abilities_oath_of_vengeance	-24	stat_melee_defence	add
wh2_dlc10_lord_abilities_red_ruin	1.75	stat_melee_damage_ap	mult
wh2_dlc10_lord_abilities_red_ruin	1.75	stat_melee_damage_base	mult
wh2_dlc10_lord_abilities_red_ruin	-24	stat_melee_defence	add
wh2_dlc10_lord_passive_blood_frenzy_1	1.06	stat_melee_damage_ap	mult
wh2_dlc10_lord_passive_blood_frenzy_2	1.12	stat_melee_damage_ap	mult
wh2_dlc10_lord_passive_blood_frenzy_3	1.18	stat_melee_damage_ap	mult
wh2_dlc10_quest_abilities_insane_head	-35	stat_armour	add
wh2_dlc10_quest_abilities_insane_head	12	stat_melee_attack	add
wh2_dlc10_quest_abilities_insane_head	-24	stat_melee_defence	add
wh2_dlc10_quest_abilities_regenerating_head	99	stat_resistance_flame	add
wh2_dlc10_quest_abilities_unidentified_hydra_head	80	stat_resistance_flame	add
wh2_dlc10_quest_passive_mother_of_flame	1.24	scalar_speed	mult
wh2_dlc10_quest_passive_mother_of_flame	12	stat_melee_attack	add
wh2_dlc10_quest_passive_mother_of_flame	20	stat_resistance_physical	add
wh2_dlc10_quest_passive_primal_rage_iii	1.25	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rage_iii	1.25	stat_melee_damage_base	mult
wh2_dlc10_quest_passive_primal_rage_ii	1.18	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rage_ii	1.18	stat_melee_damage_base	mult
wh2_dlc10_quest_passive_primal_rage_i	1.12	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rage_i	1.12	stat_melee_damage_base	mult
wh2_dlc10_quest_passive_primal_rampage_iii	15	stat_melee_attack	add
wh2_dlc10_quest_passive_primal_rampage_iii	1.48	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rampage_iii	85	stat_resistance_all	add
wh2_dlc10_quest_passive_primal_rampage_ii	7	stat_melee_attack	add
wh2_dlc10_quest_passive_primal_rampage_ii	1.25	stat_melee_damage_ap	mult
wh2_dlc10_quest_passive_primal_rampage_ii	25	stat_resistance_all	add
