unit_abilities_tables
16
key	requires_effect_enabling	icon-name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
wh2_dlc09_army_abilities_barrage_of_the_legion	False	wh2_dlc09_army_abilities_barrage_of_the_legion		wh_type_wind		wh_main_anc_group_uncommon	True	False	army		False
wh2_dlc09_army_abilities_realm_of_souls_ushabti	False	wh2_dlc09_army_abilities_realm_of_souls_ushabti		wh_type_augment		wh_main_anc_group_unique	True	False	army		False
wh2_dlc09_army_abilities_rictus_clanstone	False	wh2_dlc09_army_abilities_rictus_clanstone		wh_type_area_of_augments		wh_main_anc_group_rare	False	False	army		False
wh2_dlc09_army_abilities_sand_veil	False	wh2_dlc09_army_abilities_sand_veil		wh_type_hiding		wh_main_anc_group_uncommon	False	False	army		False
wh2_dlc09_army_abilities_tomb_swarm	False	wh2_dlc09_army_ability_tomb_swarm		wh_type_area_of_direct_damage		wh_main_anc_group_rare	True	False	army		False
wh2_dlc09_army_passive_realm_of_souls_ushabti_trigger	False	wh2_dlc09_army_abilities_realm_of_souls_ushabti		wh_type_augment		wh_main_anc_group_unique	True	True	army		False
wh2_dlc09_character_abilities_curse_of_djaf	False	wh2_dlc09_character_abilities_curse_of_djaf		wh_type_area_of_hexes		wh_main_anc_group_common	True	False	character		False
wh2_dlc09_character_abilities_curse_of_khsar	False	wh2_dlc09_character_abilities_curse_of_khsar		wh_type_area_of_hexes		wh_main_anc_group_common	True	False	character		False
wh2_dlc09_character_abilities_restore	True	wh2_dlc09_character_abilities_restore		wh_type_regeneration		wh_main_anc_group_common	True	False	character		False
wh2_dlc09_character_abilities_stay_here_ill_get_help	False	wh2_dlc09_character_abilities_stay_here_ill_get_help		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_abilities_strike_of_nagash	True	wh2_dlc09_character_abilities_strike_of_nagash		wh_type_augment		wh_main_anc_group_rare	True	False	character		False
wh2_dlc09_character_abilities_strike_of_nehekhara	True	wh2_dlc09_character_abilities_strike_of_nehekhara		wh_type_augment		wh_main_anc_group_rare	True	False	character		False
wh2_dlc09_character_abilities_strike_of_tombs	True	wh2_dlc09_character_abilities_strike_of_tombs		wh_type_augment		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_abilities_tomb_king_rally	True	wh2_dlc09_character_abilities_tomb_king_rally		wh_type_area_of_augments		wh_main_anc_group_common	True	False	character		False
wh2_dlc09_character_abilities_tomb_king_rally_upgraded	True	wh2_dlc09_character_abilities_tomb_king_rally_upgraded		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_passive_befalling_curse	True	wh2_dlc09_character_passive_befalling_curse		wh_type_area_of_direct_damage		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_passive_blessing_of_asaph	True	wh2_dlc09_character_passive_blessing_of_asaph		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_passive_stone_shaper	True	wh2_dlc09_character_passive_stone_shaper		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_passive_tretchs_raiders	True	wh2_dlc09_character_passive_tretchs_raiders		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_passive_true_blessing_of_asaph	False	wh2_dlc09_character_passive_true_blessing_of_asaph		wh_type_area_of_augments		wh_main_anc_group_uncommon	True	False	character		False
wh2_dlc09_character_passive_unyielding_will	True	wh2_dlc09_character_passive_unyielding_will		wh_type_area_of_augments		wh_main_anc_group_unique	True	False	character		False
wh2_dlc09_character_passive_wrath_of_the_creator	True	wh2_dlc09_character_passive_wrath_of_the_creator		wh_type_area_of_augments		wh_main_anc_group_common	True	False	character		False
