,abilities,ammo,armour,attributes,base_reload_time,caste,category,charge_bonus,charge_speed,charge_speed_flying,damage_mod_all,damage_mod_flame,damage_mod_magic,damage_mod_missile,damage_mod_physical,entity_size,explosion_ap_damage,explosion_base_damage,explosion_radius,faction_group,factions,ground_stat_effect_group,health,health_per_entity,height,key,leadership,mass,melee_ap_damage,melee_ap_ratio,melee_attack,melee_attack_interval,melee_base_damage,melee_bonus_v_infantry,melee_bonus_v_large,melee_defence,melee_total_damage,multiplayer_cost,name,parry_chance,projectile_number,radius,range,ranged_ap_damage,ranged_ap_ratio,ranged_base_damage,ranged_bonus_v_infantry,ranged_bonus_v_large,ranged_total_damage,shots_per_volley,special_category,speed,speed_flying,speed_ground,spells,unit_size
0,"['All Hands Hoay!', ""Manann's Luck"", ""Spearfisher's Net""]",,20,"['charge_reflector_vs_large', 'encourages', 'hide_forest', 'immune_to_psychology']",,Lord,Halberd Infantry,35,50,0,0,0,0,0,20,small,,,,cst,"['Pirates of Sartosa', 'Vampire Coast']",aquatic_small,3216,3216,2.2,wh2_dlc11_cst_cha_aranessa_0,75,900,280,0.7,60,4.0,120,0,35,60,400,850,Aranessa Saltspite,0,,0.7,,,,,,,,,,44,0,44,[],1
1,"['All Hands Hoay!', ""Manann's Luck"", ""Spearfisher's Net""]",,120,"['causes_fear', 'charge_reflector_vs_large', 'encourages', 'hide_forest', 'immune_to_psychology']",,Lord,Halberd Infantry,35,60,0,0,0,0,15,0,large,,,,cst,"['Pirates of Sartosa', 'Vampire Coast']",aquatic_large,3912,3912,3.0,wh2_dlc11_cst_cha_aranessa_1,75,1500,280,0.7,50,4.0,120,0,35,60,400,1150,Aranessa Saltspite on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,[],1
2,"['Ghosts of the Past', 'Song of Enthrallment', 'Arcane Conduit', 'Crumbling', 'Disintegrating']",,0,"['causes_fear', 'causes_terror', 'encourages', 'hide_forest', 'strider', 'undead']",,Lord,Wizard,30,48,0,0,0,0,0,75,small,,,,cst,"['The Drowned', 'Vampire Coast']",ethereal,2616,2616,3.0,wh2_dlc11_cst_cha_cylostra_direfin_0,60,400,100,0.33,44,4.0,200,0,0,35,300,750,Cylostra Direfin,0,,0.7,,,,,,,,,,40,0,40,[],1
3,"['Ghosts of the Past', 'Song of Enthrallment', 'Arcane Conduit', 'Crumbling', 'Disintegrating']",,150,"['causes_fear', 'causes_terror', 'charge_reflector', 'encourages', 'undead']",,Lord,Wizard,24,80,0,0,0,0,0,10,very_large,,,,cst,"['The Drowned', 'Vampire Coast']",aquatic_large,7397,7397,8.0,wh2_dlc11_cst_cha_cylostra_direfin_1,60,5500,280,0.7,52,3.2,120,15,0,42,400,2150,Cylostra Direfin on Rotting Leviathan,0,,5.3,,,,,,,,,,50,0,50,[],1
4,"['Hornswaggle', 'Power Siphon', 'Magical Void', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",50.0,90,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Hybrid-Weapon Infantry,20,46,0,0,0,0,15,0,small,,,,cst,['Vampire Coast'],aquatic_small,3156,3156,2.2,wh2_dlc11_cst_cha_luthor_harkon_0,80,900,170,0.35,70,4.0,310,0,0,50,480,900,Luthor Harkon,0,1.0,0.7,90.0,120.0,0.75,40.0,0.0,0.0,160.0,1.0,,40,0,40,[],1
5,"['Hornswaggle', 'Power Siphon', 'Magical Void', 'Extra Powder', 'Death Shriek', 'The Hunger', 'Regeneration', 'Crumbling', 'Disintegrating']",50.0,80,"['causes_fear', 'causes_terror', 'encourages', 'mounted_fire_move', 'undead']",4.0,Lord,Hybrid-Weapon Infantry,40,88,130,0,0,0,15,0,very_large,,,,cst,['Vampire Coast'],aquatic_large,5970,5970,3.5,wh2_dlc11_cst_cha_luthor_harkon_1,80,1600,325,0.71,44,4.0,135,0,0,42,460,2400,Luthor Harkon on Death Shriek Terrorgheist,0,1.0,3.5,90.0,120.0,0.75,40.0,0.0,0.0,160.0,1.0,,90,90,65,[],1
6,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",,70,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,3051,3051,2.2,wh2_dlc11_cst_cha_vampire_fleet_admiral_0,75,600,280,0.7,45,4.0,120,0,25,60,400,950,Vampire Fleet Admiral (Polearm - Vampires),0,,0.7,,,,,,,,,,38,0,38,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",1
7,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_1,75,1500,280,0.7,35,3.8,120,0,25,60,400,1250,Vampire Fleet Admiral (Polearm - Vampires) on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",1
8,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",,70,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,3051,3051,2.2,wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0,75,600,280,0.7,45,4.0,120,0,25,60,400,950,Vampire Fleet Admiral (Polearm - Death),0,,0.7,,,,,,,,,,38,0,38,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
9,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1,75,1500,280,0.7,35,3.8,120,0,25,60,400,1250,Vampire Fleet Admiral (Polearm - Death) on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
10,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",,70,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,44,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,3051,3051,2.2,wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_0,75,600,280,0.7,45,4.0,120,0,25,60,400,950,Vampire Fleet Admiral (Polearm - Deep),0,,0.7,,,,,,,,,,38,0,38,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",1
11,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",,120,"['causes_fear', 'encourages', 'hide_forest', 'undead']",,Lord,Wizard,25,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_deeps_1,75,1500,280,0.7,35,3.8,120,0,25,60,400,1250,Vampire Fleet Admiral (Polearm - Deep) on Rotting Promethean,0,,2.0,,,,,,,,,,45,0,45,"['Kiss of the Deep', 'Denizens of the Deep', 'Fog of the Damned', ""Vangheist's Revenge"", ""Kraken's Pull"", 'Spiteful Shot', 'Tidecall']",1
12,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40.0,70,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Wizard,35,46,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,3051,3051,2.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_0,75,600,170,0.35,65,4.0,310,0,0,45,480,950,Vampire Fleet Admiral (Pistol - Vampires),0,1.0,0.7,90.0,120.0,0.8,30.0,0.0,0.0,150.0,1.0,,40,0,40,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",1
13,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40.0,120,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Wizard,35,60,0,0,0,0,15,0,large,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_large,3735,3735,3.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_1,75,1500,280,0.7,55,3.8,120,0,0,50,400,1250,Vampire Fleet Admiral (Pistol - Vampires) on Rotting Promethean,0,1.0,2.0,90.0,120.0,0.8,30.0,0.0,0.0,150.0,1.0,,45,0,45,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",1
14,"['All Hands Hoay!', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",40.0,70,"['causes_fear', 'encourages', 'hide_forest', 'mounted_fire_move', 'undead']",4.0,Lord,Wizard,35,46,0,0,0,0,15,0,small,,,,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",aquatic_small,3051,3051,2.0,wh2_dlc11_cst_cha_vampire_fleet_admiral_female_death_0,75,600,170,0.35,65,4.0,310,0,0,45,480,950,Vampire Fleet Admiral (Pistol - Death),0,1.0,0.7,90.0,120.0,0.8,30.0,0.0,0.0,150.0,1.0,,40,0,40,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",1
