,abilities,acceleration,accuracy,ammo,armour,attributes,base_reload_time,calibration_area,calibration_distance,caste,category,charge_bonus,charge_speed,charge_speed_flying,damage_mod_all,damage_mod_flame,damage_mod_magic,damage_mod_missile,damage_mod_physical,deceleration,entity_size,explosion_ap_damage,explosion_base_damage,explosion_contact_effect,explosion_is_flaming,explosion_is_magical,explosion_radius,faction_group,factions,fly_speed,ground_stat_effect_group,health,health_per_entity,height,is_large,key,leadership,mass,melee_ap_damage,melee_ap_ratio,melee_attack,melee_attack_interval,melee_base_damage,melee_bonus_v_infantry,melee_bonus_v_large,melee_contact_effect,melee_defence,melee_is_flaming,melee_is_magical,melee_splash_attack_multiplier,melee_splash_attack_target_size,melee_splash_attacks,melee_total_damage,missile_block_chance,multiplayer_cost,name,projectile_number,range,ranged_ap_damage,ranged_ap_ratio,ranged_base_damage,ranged_bonus_v_infantry,ranged_bonus_v_large,ranged_contact_effect,ranged_is_flaming,ranged_is_magical,ranged_total_damage,recruitment_time,reload_skill,run_speed,shots_per_volley,singleplayer_cost,singleplayer_upkeep,special_category,speed,spells,unit_card,unit_size
0,"['All Hands Hoay!', ""Manann's Luck"", ""Spearfisher's Net""]",30,0,0,20,"['Charge Defence Against Large', 'Encourage', 'Hide (Forest)', 'Immune to Psychology']",,0.0,0,Lord,Halberd Infantry,35,50,0,0,0,0,0,20,40,small,0,0,,False,False,0,cst,"['Pirates of Sartosa', 'Vampire Coast']",0,aquatic_small,3216,3216,2.2,False,wh2_dlc11_cst_cha_aranessa_0,75,900,280,0.7,60,4.0,120,0,35,,60,False,False,1.0,large,4,400,0,850,Aranessa Saltspite,0,0,0,,0,0,0,,,,0,1,0,44,0,1000,250,,44,[],placeholder.png,1
1,"['All Hands Hoay!', ""Manann's Luck"", ""Spearfisher's Net""]",40,0,0,120,"['Fear', 'Charge Defence Against Large', 'Encourage', 'Hide (Forest)', 'Immune to Psychology']",,0.0,0,Lord,Halberd Infantry,35,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['Pirates of Sartosa', 'Vampire Coast']",0,aquatic_large,3912,3912,3.0,True,wh2_dlc11_cst_cha_aranessa_1,75,1500,280,0.7,50,4.0,120,0,35,,60,False,False,1.0,large,4,400,0,1150,Aranessa Saltspite on Rotting Promethean,0,0,0,,0,0,0,,,,0,1,0,45,0,1000,250,,45,[],placeholder.png,1
2,"['Ghosts of the Past', 'Song of Enthrallment', 'Arcane Conduit', 'Crumbling', 'Disintegrating']",40,0,0,0,"['Fear', 'Terror', 'Encourage', 'Hide (Forest)', 'Strider', 'Undead']",,0.0,0,Lord,Wizard,30,48,0,0,0,0,0,75,50,small,0,0,,False,False,0,cst,"['The Drowned', 'Vampire Coast']",0,ethereal,2616,2616,3.0,False,wh2_dlc11_cst_cha_cylostra_direfin_0,60,400,100,0.33,44,4.0,200,0,0,,35,False,True,1.0,medium,7,300,0,750,Cylostra Direfin,0,0,0,,0,0,0,,,,0,1,0,40,0,1000,250,,40,[],placeholder.png,1
3,"['Ghosts of the Past', 'Song of Enthrallment', 'Arcane Conduit', 'Crumbling', 'Disintegrating']",26,0,0,150,"['Fear', 'Terror', 'Charge Defense', 'Encourage', 'Undead']",,0.0,0,Lord,Wizard,24,80,0,0,0,0,0,10,40,very_large,0,0,,False,False,0,cst,"['The Drowned', 'Vampire Coast']",0,aquatic_large,7397,7397,8.0,True,wh2_dlc11_cst_cha_cylostra_direfin_1,60,5500,280,0.7,52,3.2,120,15,0,,42,False,False,1.0,large,9,400,0,2150,Cylostra Direfin on Rotting Leviathan,0,0,0,,0,0,0,,,,0,1,0,50,0,1000,575,,50,[],placeholder.png,1
4,"['Hornswaggle', 'Power Siphon', 'Magical Void', 'Extra Powder', 'The Hunger', 'Crumbling', 'Disintegrating']",20,10,50,90,"['Fear', 'Encourage', 'Hide (Forest)', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Hybrid-Weapon Infantry,20,46,0,0,0,0,15,0,40,small,0,0,,False,False,0,cst,['Vampire Coast'],0,aquatic_small,3156,3156,2.2,False,wh2_dlc11_cst_cha_luthor_harkon_0,80,900,170,0.35,70,4.0,310,0,0,Disrupted!,50,False,False,1.0,medium,5,480,0,900,Luthor Harkon,1,90,120,0.75,40,0,0,Disrupted!,False,False,160,1,10,40,1,1000,250,,40,[],placeholder.png,1
5,"['Hornswaggle', 'Power Siphon', 'Magical Void', 'Extra Powder', 'Death Shriek', 'The Hunger', 'Regeneration', 'Crumbling', 'Disintegrating']",60,10,50,80,"['Fear', 'Terror', 'Encourage', 'Fire While Moving', 'Undead']",4.0,1.6,80,Lord,Hybrid-Weapon Infantry,40,88,130,0,0,0,15,0,100,very_large,0,0,,False,False,0,cst,['Vampire Coast'],90,aquatic_large,5970,5970,3.5,True,wh2_dlc11_cst_cha_luthor_harkon_1,80,1600,325,0.71,44,4.0,135,0,0,Poison!,42,False,False,1.0,large,7,460,0,2400,Luthor Harkon on Death Shriek Terrorgheist,1,90,120,0.75,40,0,0,Disrupted!,False,False,160,1,10,65,1,2300,575,,90,[],placeholder.png,1
6,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",30,0,0,70,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,44,0,0,0,0,15,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,3051,3051,2.2,False,wh2_dlc11_cst_cha_vampire_fleet_admiral_0,75,600,280,0.7,45,4.0,120,0,25,,60,False,False,1.0,large,5,400,0,950,Vampire Fleet Admiral (Polearm - Vampires),0,0,0,,0,0,0,,,,0,1,0,38,0,1000,250,,38,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",placeholder.png,1
7,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",40,0,0,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_admiral_1,75,1500,280,0.7,35,3.8,120,0,25,,60,False,False,1.0,medium,5,400,0,1250,Vampire Fleet Admiral (Polearm - Vampires) on Rotting Promethean,0,0,0,,0,0,0,,,,0,1,0,45,0,1000,312,,45,"['Drowned Dead', 'The Curse of Undeath', 'Curse of Years', 'Gaze of Nagash', 'Invocation of Nehek', ""Vanhel's Danse Macabre"", 'Wind of Death']",placeholder.png,1
8,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",30,0,0,70,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,44,0,0,0,0,15,0,40,small,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_small,3051,3051,2.2,False,wh2_dlc11_cst_cha_vampire_fleet_admiral_death_0,75,600,280,0.7,45,4.0,120,0,25,,60,False,False,1.0,large,5,400,0,950,Vampire Fleet Admiral (Polearm - Death),0,0,0,,0,0,0,,,,0,1,0,38,0,1000,250,,38,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",placeholder.png,1
9,"['All Hands Hoay!', 'The Hunger', 'Crumbling', 'Disintegrating']",40,0,0,120,"['Fear', 'Encourage', 'Hide (Forest)', 'Undead']",,0.0,0,Lord,Wizard,25,60,0,0,0,0,15,0,60,large,0,0,,False,False,0,cst,"['The Dreadfleet', 'Pirates of Sartosa', 'The Drowned', 'Vampire Coast']",0,aquatic_large,3735,3735,3.0,True,wh2_dlc11_cst_cha_vampire_fleet_admiral_death_1,75,1500,280,0.7,35,3.8,120,0,25,,60,False,False,1.0,medium,5,400,0,1250,Vampire Fleet Admiral (Polearm - Death) on Rotting Promethean,0,0,0,,0,0,0,,,,0,1,0,45,0,1000,312,,45,"['Life Leeching', 'Aspect of the Dread Knight', 'Doom & Darkness', 'Soulblight', 'Spirit Leech', 'The Fate of Bjuna', 'The Purple Sun of Xereus']",placeholder.png,1
